time,open,high,low,close,tick_volume,spread,real_volume
1309478400,13.92,14.23,12.0,12.21,2345516,0,11216335440000
1312156800,12.75,12.81,9.81,11.12,4265785,0,19740347920000
1314835200,11.11,11.27,9.32,9.66,2556294,0,11688734130000
1317427200,9.64,12.67,9.04,11.68,3181437,0,15616433830000
1320105600,11.34,11.68,9.74,10.59,1887485,0,9825598650000
1322697600,10.5,11.42,9.98,10.75,1768061,0,9342231140000
1325376000,11.0,13.05,10.99,12.41,2094535,0,11807934580000
1328054400,12.73,13.0,11.99,12.37,1635119,0,8512959290000
1330560000,12.49,13.03,12.0,12.47,1576375,0,7772446750000
1333238400,12.5,12.95,11.15,11.26,1708230,0,8651816410000
1335830400,11.25,11.35,9.96,10.59,1897909,0,9506849200000
1338508800,10.33,10.8,9.46,9.58,1762001,0,8716416470000
1341100800,9.5,9.8,8.83,9.24,1475109,0,7997703880000
1343779200,9.29,9.78,8.82,9.34,1360084,0,6686827530000
1346457600,9.37,10.67,9.35,9.86,1426145,0,7246447090000
1349049600,9.92,11.17,9.71,11.14,1575215,0,8446710920000
1351728000,11.01,11.61,10.38,11.44,1564489,0,8071628640000
1354320000,11.56,13.08,11.03,12.95,1984285,0,10646636440000
1356998400,13.23,14.31,12.67,12.96,2403111,0,12016850670000
1359676800,13.1,13.32,12.1,12.6,1225764,0,5889760000000
1362096000,12.56,13.48,12.38,13.13,1134081,0,4980016330000
1364774400,13.01,13.79,12.15,13.71,1622922,0,7508109690000
1367366400,13.64,16.04,13.35,15.69,1750097,0,9521814910000
1370044800,15.93,16.09,14.3,15.45,1696213,0,7755019060000
1372636800,15.61,17.68,15.55,16.88,1670965,0,8061397950000
1375315200,17.04,17.5,15.71,16.18,1443001,0,7015089960000
1377993600,16.42,17.77,16.21,16.86,1492015,0,7286824460000
1380585600,16.92,18.02,16.35,17.16,1607470,0,7794581920000
1383264000,17.01,17.2,16.53,17.1,1302610,0,6216338250000
1385856000,17.13,17.21,15.1,15.43,1938703,0,9706740770000
1388534400,15.42,16.78,14.9,14.95,1957831,0,9249662260000
1391212800,15.0,15.5,14.4,15.39,1440998,0,6667343130000
1393632000,15.2,15.84,15.03,15.61,1083096,0,4894628360000
1396310400,15.67,16.5,15.53,16.15,1418788,0,6134767260000
1398902400,16.15,16.57,15.43,16.43,1002516,0,4644975660000
1401580800,16.51,17.36,16.38,17.25,1085420,0,4965061300000
1404172800,17.34,18.12,17.01,17.03,1249910,0,5569642030000
1406851200,17.05,17.53,16.72,17.4,899769,0,3702955630000
1409529600,17.48,17.87,14.49,14.78,1361580,0,5947771390000
1412121600,14.77,14.83,13.26,14.07,1820590,0,8084528320000
1414800000,14.1,15.85,13.86,15.71,1205314,0,5401061920000
1417392000,15.78,16.14,13.93,15.5,1326929,0,5122789850000
1420070400,15.59,15.65,14.3,14.72,1372260,0,5342612620000
1422748800,14.75,16.63,14.74,16.33,1063019,0,4814926340000
1425168000,16.41,16.74,15.69,16.15,1035958,0,4627185470000
1427846400,16.16,16.16,15.69,15.82,974543,0,4861018960000
1430438400,15.9,15.94,15.14,15.17,807383,0,3850191220000
1433116800,15.33,15.67,14.78,15.01,1017496,0,5038674030000
1435708800,15.14,15.31,14.23,14.84,1265059,0,5993648620000
1438387200,14.97,15.05,10.44,13.86,1178160,0,5318915660000
1441065600,13.95,14.88,13.01,13.57,1360875,0,6464528170000
1443657600,13.76,15.76,13.33,14.81,1225312,0,5398282830000
1446336000,14.79,14.9,13.85,14.34,939590,0,3907398550000
1448928000,14.32,14.62,13.4,14.09,1148477,0,5024820250000
1451606400,13.87,14.06,11.2,11.9,2065081,0,9168394530000
1454284800,11.92,12.66,11.02,12.52,1598623,0,7031392940000
1456790400,13.01,13.87,12.72,13.5,1278525,0,5706315500000
1459468800,13.28,14.23,12.39,13.58,1374309,0,6619667990000
1462060800,13.67,13.8,13.02,13.49,1030785,0,4811916500000
1464739200,13.43,13.62,12.0,12.57,1430614,0,6871109180000
1467331200,12.88,14.04,12.21,12.65,1289586,0,6686236140000
1470009600,12.61,13.4,11.9,12.6,1260867,0,6536703570000
1472688000,12.66,12.78,11.93,12.06,1246552,0,6737749600000
1475280000,12.06,12.54,11.6,11.74,1020866,0,5234265200000
1477958400,11.79,12.5,11.07,11.96,939047,0,4566752620000
1480550400,12.24,13.2,12.08,12.13,1005255,0,4825571290000
